stock,term,beta,se,tstat,p,r2,adj_r2,n
MSFT,r_usd,0.5117511012637568,0.20233118217519147,2.5292745080718673,0.011685712241852995,0.5180835184349535,0.511636475203314,607
MSFT,GSPC,1.1721425783300785,0.1034664174464693,11.328724887343403,4.358039700694365e-27,0.5180835184349535,0.511636475203314,607
NVDA,(Intercept),0.006000514497946023,0.002113883073957168,2.838621762893025,0.004684749285679522,0.43337240707656477,0.42579210483009744,607
NVDA,d_rate,0.022476746348290163,0.02683875877427432,0.837473392019706,0.40266109882923007,0.43337240707656477,0.42579210483009744,607
NVDA,d_slope,-0.06310848631949956,0.0416819252649651,-1.5140492172165598,0.1305416913003363,0.43337240707656477,0.42579210483009744,607
NVDA,d_infl,-0.09408890091408177,0.03436715286769751,-2.737756638622169,0.0063701047650621566,0.43337240707656477,0.42579210483009744,607
NVDA,d_credit,-0.05984832728997203,0.03950743667870055,-1.5148623226734872,0.1303356363555531,0.43337240707656477,0.42579210483009744,607
NVDA,r_vix,-0.01999350947627533,0.022483689668801585,-0.8892450381050387,0.3742289716045032,0.43337240707656477,0.42579210483009744,607
NVDA,r_oil,0.005183322092299459,0.04226476066947618,0.12263933381368652,0.902433909152975,0.43337240707656477,0.42579210483009744,607
NVDA,r_usd,0.4489330112400937,0.31195015448296814,1.4391177718253207,0.15064036457347826,0.43337240707656477,0.42579210483009744,607
NVDA,GSPC,1.681414380446818,0.20441978809106218,8.225301455149754,1.2182379248023989e-15,0.43337240707656477,0.42579210483009744,607
UNH,(Intercept),4.0884568869519074e-4,0.0015239125787668314,0.2682868390167326,0.7885710565080908,0.2065938085621101,0.19597967891076706,607
UNH,d_rate,0.030053797150353164,0.01909292251870711,1.5740805065807326,0.11599772008226882,0.2065938085621101,0.19597967891076706,607
UNH,d_slope,-0.037187785653062216,0.026958562275696346,-1.379442467026059,0.16827399168761978,0.2065938085621101,0.19597967891076706,607
UNH,d_infl,-0.011033361692608774,0.025784209429383764,-0.42791157599096763,0.668869558924112,0.2065938085621101,0.19597967891076706,607
UNH,d_credit,0.026922269896462635,0.028257926013094955,0.9527333989050235,0.34111009523350233,0.2065938085621101,0.19597967891076706,607
UNH,r_vix,0.023283068466402976,0.022666531494921788,1.0272003227145414,0.3047414538156861,0.2065938085621101,0.19597967891076706,607
UNH,r_oil,-0.05288115161160343,0.032321321692357206,-1.636107338522232,0.10234328931828082,0.2065938085621101,0.19597967891076706,607
UNH,r_usd,-0.0512046719245367,0.2620383242527926,-0.195409095484593,0.8451390730071248,0.2065938085621101,0.19597967891076706,607
UNH,GSPC,0.9777787239414231,0.20981435559869127,4.660208883950751,3.897297474262593e-6,0.2065938085621101,0.19597967891076706,607
GSPC,(Intercept),0.0020158930959701246,5.121260243327977e-4,3.936322311674061,9.245343762098547e-5,0.604764104372845,0.6001453209514926,607
GSPC,d_rate,-0.03479371112988375,0.009389435443997767,-3.705623339912919,2.304045399516469e-4,0.604764104372845,0.6001453209514926,607
GSPC,d_slope,0.020109836988432574,0.015130879162822157,1.3290593872327086,0.1843343847518801,0.604764104372845,0.6001453209514926,607
GSPC,d_infl,0.06478257477656695,0.016873825446398805,3.839234617091098,1.3654901675941669e-4,0.604764104372845,0.6001453209514926,607
GSPC,d_credit,-0.07280707848858035,0.017554388740085015,-4.1475143091896545,3.847066158773183e-5,0.604764104372845,0.6001453209514926,607
GSPC,r_vix,-0.08735445125945607,0.006519787340440472,-13.39835897984281,5.419375226253868e-36,0.604764104372845,0.6001453209514926,607
GSPC,r_oil,0.005855988156266241,0.014819192119793134,0.3951624426573658,0.6928636884189723,0.604764104372845,0.6001453209514926,607
GSPC,r_usd,-0.5640253099877084,0.2170720771221799,-2.5983319340987574,0.009598299292051526,0.604764104372845,0.6001453209514926,607
