stock,term,beta,se,tstat,p,r2,adj_r2,n
NVDA,GSPC,2.4996755805945035,0.1809489110276377,13.814261530497463,1.4890214473286844e-33,0.5205161100548285,0.5070095216056687,293
UNH,(Intercept),-2.7356419470790037e-4,0.0028154294423480015,-0.09716606304996026,0.9226630534948335,0.03226752119144536,0.0050074513658523445,293
UNH,d_rate,0.013627732429648938,0.03135020515102952,0.434693564651248,0.6641149775992585,0.03226752119144536,0.0050074513658523445,293
UNH,d_slope,-0.030420898291629323,0.03367328960664969,-0.9034133180032967,0.36707220630989057,0.03226752119144536,0.0050074513658523445,293
UNH,d_infl,0.016876798663389803,0.039524136579272666,0.42699980629660034,0.6697029971290295,0.03226752119144536,0.0050074513658523445,293
UNH,d_credit,0.03191721900296999,0.04253211831530293,0.7504262723610046,0.4536192778576743,0.03226752119144536,0.0050074513658523445,293
UNH,r_vix,-0.002242904890892198,0.030148449352732164,-0.07439536490419657,0.9407481701716414,0.03226752119144536,0.0050074513658523445,293
UNH,r_oil,-0.0744670860755037,0.05143491503437103,-1.4477925359795303,0.14877808684730714,0.03226752119144536,0.0050074513658523445,293
UNH,r_usd,-0.21330338577531657,0.45128886903031634,-0.47265377103947015,0.6368232338207038,0.03226752119144536,0.0050074513658523445,293
UNH,GSPC,0.33309571683693723,0.25567411250306366,1.302813623076313,0.19369377253920142,0.03226752119144536,0.0050074513658523445,293
SOFI,(Intercept),-0.0038015282691618965,0.00468568359920135,-0.8113070779704047,0.41786875729158923,0.263931882518387,0.24319756934989079,293
SOFI,d_rate,-0.03492318973705499,0.05910229016202432,-0.5908940185112249,0.5550613888427667,0.263931882518387,0.24319756934989079,293
SOFI,d_slope,0.015235194650514724,0.08007865233724858,0.19025288520531303,0.8492468897610874,0.263931882518387,0.24319756934989079,293
SOFI,d_infl,-0.11203153537221124,0.10136530621696803,-1.1052256393564541,0.26999725440614647,0.263931882518387,0.24319756934989079,293
SOFI,d_credit,-0.1991895474204062,0.1135273269583467,-1.7545515494563617,0.0804144599595255,0.263931882518387,0.24319756934989079,293
SOFI,r_vix,-0.040818052409776824,0.05372306830693392,-0.7597863207770008,0.4480125488588026,0.263931882518387,0.24319756934989079,293
SOFI,r_oil,0.014359725624307316,0.10341641692216401,0.1388534436956476,0.8896643691068701,0.263931882518387,0.24319756934989079,293
SOFI,r_usd,-0.017750813524700537,0.8952773219048219,-0.01982716761654737,0.9841951679664873,0.263931882518387,0.24319756934989079,293
SOFI,GSPC,1.619972323985549,0.29388403668446567,5.512284172565875,7.955676183572435e-8,0.263931882518387,0.24319756934989079,293
PLTR,(Intercept),-1.822143823560435e-4,0.004698217603767064,-0.03878372560052193,0.9690900688226989,0.25438115820602897,0.23337781054986073,293
PLTR,d_rate,0.10558335982327308,0.0532326447516505,1.9834325406122042,0.048282028709654784,0.25438115820602897,0.23337781054986073,293
PLTR,d_slope,-0.11606107609665718,0.07378673670527953,-1.5729259929224226,0.1168493079953415,0.25438115820602897,0.23337781054986073,293
PLTR,d_infl,-0.07103575466946956,0.0827132488077626,-0.8588195445516449,0.39116435781942294,0.25438115820602897,0.23337781054986073,293
PLTR,d_credit,0.0802941625845456,0.07466233278827392,1.0754306701378098,0.2830947292605616,0.25438115820602897,0.23337781054986073,293
PLTR,r_vix,0.03971106860444105,0.05202886819726102,0.7632506717978458,0.4459474585183991,0.25438115820602897,0.23337781054986073,293
PLTR,r_oil,-0.033724619177953226,0.09868914418490417,-0.3417257232950234,0.7328100306337944,0.25438115820602897,0.23337781054986073,293
PLTR,r_usd,-0.2627568483273472,0.7881583713057743,-0.3333807745923286,0.7390928697520203,0.25438115820602897,0.23337781054986073,293
PLTR,GSPC,2.4051771488724523,0.2954335996076928,8.141176738415314,1.2433165444032446e-14,0.25438115820602897,0.23337781054986073,293
GSPC,(Intercept),0.0027942609606969922,6.767072746451344e-4,4.129201894810875,4.7864431447592166e-5,0.6507417321943585,0.6421634589500094,293
GSPC,d_rate,-0.052172960931799205,0.010687811695782127,-4.881538187315642,1.7554870097163272e-6,0.6507417321943585,0.6421634589500094,293
GSPC,d_slope,0.03061682961368062,0.014246416021265806,2.149089958343101,0.032469333517250974,0.6507417321943585,0.6421634589500094,293
GSPC,d_infl,0.0601780993632886,0.016315721852749283,3.6883504086672256,2.7026003764406205e-4,0.6507417321943585,0.6421634589500094,293
GSPC,d_credit,-0.06998835957813924,0.017713296589041857,-3.951176407300536,9.81127496215696e-5,0.6507417321943585,0.6421634589500094,293
GSPC,r_vix,-0.09374820740270094,0.0063842377131193544,-14.6843227986408,9.758514536808656e-37,0.6507417321943585,0.6421634589500094,293
GSPC,r_oil,0.00864959811033977,0.015903119653076433,0.5438931668143815,0.5869402083921087,0.6507417321943585,0.6421634589500094,293
GSPC,r_usd,-0.29853995153675,0.1275385410332929,-2.3407822382005965,0.019932936948310664,0.6507417321943585,0.6421634589500094,293
