week,stock,factor,beta
2017-09-04,AMZN,d_rate,-0.056343557217738725
2017-09-04,AMZN,d_credit,-0.0552028149750067
2017-09-04,AMZN,r_vix,-0.022716891467022146
2017-09-04,AMZN,GSPC,1.0582145712448572
2017-09-11,AMZN,d_rate,-0.0642163623144394
2017-09-11,AMZN,d_credit,-0.08319542980823273
2017-09-11,AMZN,r_vix,-0.015891086923704258
2017-09-11,AMZN,GSPC,1.122830438885719
2017-09-18,AMZN,d_rate,-0.059783110715685865
2017-09-18,AMZN,d_credit,-0.06556269403206147
2017-09-18,AMZN,r_vix,-0.008457634586345462
2017-09-18,AMZN,GSPC,1.2110928133949777
2017-09-25,AMZN,d_rate,-0.059894369785873924
2017-09-25,AMZN,d_credit,-0.07115484503108101
2017-09-25,AMZN,r_vix,-0.014057657393178774
2017-09-25,AMZN,GSPC,1.1526750917094772
2017-10-02,AMZN,d_rate,-0.06313579247261794
2017-10-02,AMZN,d_credit,-0.07097817335950665
2017-10-02,AMZN,r_vix,-0.006249111165454036
2017-10-02,AMZN,GSPC,1.2938888782578715
2017-10-09,AMZN,d_rate,-0.06585448005148231
2017-10-09,AMZN,d_credit,-0.07452380335519053
2017-10-09,AMZN,r_vix,-0.006359888305599542
2017-10-09,AMZN,GSPC,1.2905566316079486
2017-10-16,AMZN,d_rate,-0.08106880630606926
2017-10-16,AMZN,d_credit,-0.08778880086227446
2017-10-16,AMZN,r_vix,-0.020056210261130546
2017-10-16,AMZN,GSPC,1.1304546614544455
2017-10-23,AMZN,d_rate,-0.04101353588991995
2017-10-23,AMZN,d_credit,-0.02719699287208265
2017-10-23,AMZN,r_vix,-0.020944124072384173
2017-10-23,AMZN,GSPC,1.0169257796275235
2017-10-30,AMZN,d_rate,-0.03908139699618719
2017-10-30,AMZN,d_credit,-0.020788214657421134
2017-10-30,AMZN,r_vix,-0.019974620930880992
2017-10-30,AMZN,GSPC,1.0060949377953712
2017-11-06,AMZN,d_rate,-0.03495464174732123
2017-11-06,AMZN,d_credit,0.02426579900771559
2017-11-06,AMZN,r_vix,-0.02884099063396552
2017-11-06,AMZN,GSPC,1.5078347783686608
2017-11-13,AMZN,d_rate,-0.04862721604712858
2017-11-13,AMZN,d_credit,0.05652752832007727
2017-11-13,AMZN,r_vix,-0.030129019197907426
2017-11-13,AMZN,GSPC,1.504181124105739
2017-11-20,AMZN,d_rate,-0.05283709944265838
2017-11-20,AMZN,d_credit,0.050248500731892874
2017-11-20,AMZN,r_vix,-0.037270890336166984
2017-11-20,AMZN,GSPC,1.4654013472893992
2017-11-27,AMZN,d_rate,-0.05242762711208314
2017-11-27,AMZN,d_credit,0.03812207201048475
2017-11-27,AMZN,r_vix,-0.056535397594832955
2017-11-27,AMZN,GSPC,1.054288213525913
2017-12-04,AMZN,d_rate,-0.05190520710475851
2017-12-04,AMZN,d_credit,0.03705883638549879
2017-12-04,AMZN,r_vix,-0.04915136410926287
2017-12-04,AMZN,GSPC,1.1812689407205723
2017-12-11,AMZN,d_rate,-0.052911252971394804
2017-12-11,AMZN,d_credit,0.022632427241232853
2017-12-11,AMZN,r_vix,-0.048382900746865506
2017-12-11,AMZN,GSPC,1.1652397447704406
2017-12-18,AMZN,d_rate,-0.060888683754196836
2017-12-18,AMZN,d_credit,0.008087043923141551
2017-12-18,AMZN,r_vix,-0.04989107139445991
2017-12-18,AMZN,GSPC,1.1409144927639032
2017-12-25,AMZN,d_rate,-0.06205584474287904
2017-12-25,AMZN,d_credit,0.006661216262916252
2017-12-25,AMZN,r_vix,-0.04948665735722608
2017-12-25,AMZN,GSPC,1.1314847422056165
2018-01-01,AMZN,d_rate,-0.05006855285688905
2018-01-01,AMZN,d_credit,0.03581420388788911
2018-01-01,AMZN,r_vix,-0.0454369882473273
2018-01-01,AMZN,GSPC,1.1599398715843658
2018-01-08,AMZN,d_rate,-0.0519195138367294
2018-01-08,AMZN,d_credit,-0.029403129141661637
2018-01-08,AMZN,r_vix,-0.024057353121602485
2018-01-08,AMZN,GSPC,1.46366974215953
2018-01-15,AMZN,d_rate,-0.05329407207374614
2018-01-15,AMZN,d_credit,-0.023743505971250443
2018-01-15,AMZN,r_vix,-0.028910661041846402
2018-01-15,AMZN,GSPC,1.3975808239523984
2018-01-22,AMZN,d_rate,-0.05894945857061687
2018-01-22,AMZN,d_credit,-0.038499795417459765
2018-01-22,AMZN,r_vix,-0.018514577203924222
2018-01-22,AMZN,GSPC,1.664361948469383
2018-01-29,AMZN,d_rate,0.0036886212065455268
2018-01-29,AMZN,d_credit,0.013079892844390307
2018-01-29,AMZN,r_vix,-0.007284292041122719
2018-01-29,AMZN,GSPC,1.0128429848259666
2018-02-05,AMZN,d_rate,0.002003423800207068
2018-02-05,AMZN,d_credit,-0.0035669233136729106
2018-02-05,AMZN,r_vix,-0.00664600642204531
2018-02-05,AMZN,GSPC,1.1035372528495753
2018-02-12,AMZN,d_rate,0.009590629733907705
2018-02-12,AMZN,d_credit,0.025026806410434872
2018-02-12,AMZN,r_vix,-0.008690243124119373
2018-02-12,AMZN,GSPC,1.2004242370551335
2018-02-19,AMZN,d_rate,0.008330170124871548
2018-02-19,AMZN,d_credit,0.04594597144197275
2018-02-19,AMZN,r_vix,-0.012465600668728614
2018-02-19,AMZN,GSPC,1.1987160990093502
2018-02-26,AMZN,d_rate,0.013693551951432167
2018-02-26,AMZN,d_credit,0.04996396027042582
2018-02-26,AMZN,r_vix,-0.013976638030462788
2018-02-26,AMZN,GSPC,1.1543444848941609
2018-03-05,AMZN,d_rate,0.012243299327053214
2018-03-05,AMZN,d_credit,0.041735600931861044
2018-03-05,AMZN,r_vix,-0.01397862112883859
2018-03-05,AMZN,GSPC,1.1340709931665307
2018-03-12,AMZN,d_rate,0.009861135806884247
2018-03-12,AMZN,d_credit,0.05143398179034118
2018-03-12,AMZN,r_vix,-0.014841903603777327
2018-03-12,AMZN,GSPC,1.1324569887489433
2018-03-19,AMZN,d_rate,0.012351123135842038
2018-03-19,AMZN,d_credit,0.06118307364477163
2018-03-19,AMZN,r_vix,-0.016561552725429692
2018-03-19,AMZN,GSPC,1.0734501764123134
2018-03-26,AMZN,d_rate,0.006490273218443438
2018-03-26,AMZN,d_credit,0.006659019938098759
2018-03-26,AMZN,r_vix,-0.030405271865584903
2018-03-26,AMZN,GSPC,0.8305488035305129
2018-04-02,AMZN,d_rate,0.017602980327262003
2018-04-02,AMZN,d_credit,0.0372546387857045
2018-04-02,AMZN,r_vix,-0.01903324347026362
2018-04-02,AMZN,GSPC,0.9731857588775067
2018-04-09,AMZN,d_rate,0.01696134939040673
2018-04-09,AMZN,d_credit,0.04139044522182565
2018-04-09,AMZN,r_vix,-0.01904060613149837
2018-04-09,AMZN,GSPC,0.9588343580146212
2018-04-16,AMZN,d_rate,0.04834330213461851
2018-04-16,AMZN,d_credit,0.06649797081958753
2018-04-16,AMZN,r_vix,-0.02272381267154781
2018-04-16,AMZN,GSPC,0.9427811927483314
2018-04-23,AMZN,d_rate,0.05050162742451914
2018-04-23,AMZN,d_credit,0.07768357904140102
2018-04-23,AMZN,r_vix,-0.026496278445131152
2018-04-23,AMZN,GSPC,0.9211549654711576
2018-04-30,AMZN,d_rate,0.05027205808247843
2018-04-30,AMZN,d_credit,0.0675775548772606
2018-04-30,AMZN,r_vix,-0.0258580506527958
2018-04-30,AMZN,GSPC,0.9197390335232801
2018-05-07,AMZN,d_rate,0.054122915551477684
2018-05-07,AMZN,d_credit,0.0694325036693787
2018-05-07,AMZN,r_vix,-0.024011110117242548
2018-05-07,AMZN,GSPC,0.9187604853658613
2018-05-14,AMZN,d_rate,0.04557291047492934
2018-05-14,AMZN,d_credit,0.05756822158538039
2018-05-14,AMZN,r_vix,-0.023620664397641704
2018-05-14,AMZN,GSPC,0.926697943236369
2018-05-21,AMZN,d_rate,0.035860997647967685
2018-05-21,AMZN,d_credit,0.05936232899201333
2018-05-21,AMZN,r_vix,-0.020608090531586493
2018-05-21,AMZN,GSPC,0.9480035407259643
2018-05-28,AMZN,d_rate,0.03453460316204169
2018-05-28,AMZN,d_credit,0.06541104868313276
2018-05-28,AMZN,r_vix,-0.019833645802023386
2018-05-28,AMZN,GSPC,0.9623947332045317
2018-06-04,AMZN,d_rate,0.03760126939336631
2018-06-04,AMZN,d_credit,0.051978139459653835
2018-06-04,AMZN,r_vix,-0.01799663441501666
2018-06-04,AMZN,GSPC,0.951166596624133
2018-06-11,AMZN,d_rate,0.037079699598036024
2018-06-11,AMZN,d_credit,0.04702408108232215
2018-06-11,AMZN,r_vix,-0.018466979372054618
2018-06-11,AMZN,GSPC,0.9417176425707767
2018-06-18,AMZN,d_rate,0.038774609274070435
2018-06-18,AMZN,d_credit,0.05168167784262019
2018-06-18,AMZN,r_vix,-0.018107964324894296
2018-06-18,AMZN,GSPC,0.9490584242671939
2018-06-25,AMZN,d_rate,0.06011390454863014
2018-06-25,AMZN,d_credit,0.022700844776647272
2018-06-25,AMZN,r_vix,-0.01797712633338602
2018-06-25,AMZN,GSPC,0.886767259951046
2018-07-02,AMZN,d_rate,0.06481583360396836
2018-07-02,AMZN,d_credit,0.02920965988969366
2018-07-02,AMZN,r_vix,-0.016178524072527112
2018-07-02,AMZN,GSPC,0.8927217372481155
